bgen	id	chrom	start	end
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_10060_2927788	chr1	10060	2927788
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_2927788_6364015	chr1	2927788	6364015
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_6364025_10226829	chr1	6364025	10226829
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_10226829_14209824	chr1	10226829	14209824
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_14209872_18244545	chr1	14209872	18244545
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_18244547_22375035	chr1	18244547	22375035
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_22375035_26400476	chr1	22375035	26400476
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_26400539_30780009	chr1	26400539	30780009
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_30780009_35220562	chr1	30780009	35220562
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_35220610_39876691	chr1	35220610	39876691
gs://vwb-aou-datasets-controlled/v9/wgs/short_read/snpindel/acaf_threshold/bgen/acaf_threshold.chr1.bgen	acaf_chr1_39876691_44661404	chr1	39876691	44661404
